run_id,timestamp_utc,git_sha,dataset_hash,stage,hypothesis_id,config_hash,parent_run_id,change_reason,train_period,validation_period,test_period,seed,command,status,primary_metric,selected,notes
g7_001,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,level_counts,,,,2018-2022,,,,"{""instrument"": ""ES""}",ok,,,
g7_002,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,missingness,,,,2018-2022,,,,"{""instrument"": ""ES""}",ok,,,
g7_003,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,structural_duplicates,,,,2018-2022,,,,"{""instrument"": ""ES""}",ok,,,
g7_004,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,clustering_summary,,,,2018-2022,,,,"{""instrument"": ""ES""}",ok,,,
g7_005,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,coverage,,,,2018-2022,,,,"{""instrument"": ""ES""}",ok,,,
g7_006,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,overlap_per_session,,,,2018-2022,,,,"{""instrument"": ""ES""}",ok,,,
g7_007,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,level_counts,,,,2018-2022,,,,"{""instrument"": ""NQ""}",ok,,,
g7_008,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,missingness,,,,2018-2022,,,,"{""instrument"": ""NQ""}",ok,,,
g7_009,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,structural_duplicates,,,,2018-2022,,,,"{""instrument"": ""NQ""}",ok,,,
g7_010,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,clustering_summary,,,,2018-2022,,,,"{""instrument"": ""NQ""}",ok,,,
g7_011,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,coverage,,,,2018-2022,,,,"{""instrument"": ""NQ""}",ok,,,
g7_012,2026-07-11T23:53:51.907789+00:00,98c0bf7,see DATA_CONTRACT.md,level_diagnostics,overlap_per_session,,,,2018-2022,,,,"{""instrument"": ""NQ""}",ok,,,
