instrument,session_date,n_clustered_pairs
ES,2018-01-03,0
ES,2018-01-04,0
ES,2018-01-05,0
ES,2018-01-08,0
ES,2018-01-09,0
ES,2018-01-10,0
ES,2018-01-11,0
ES,2018-01-12,0
ES,2018-01-15,0
ES,2018-01-16,0
ES,2018-01-17,0
ES,2018-01-18,0
ES,2018-01-19,0
ES,2018-01-22,0
ES,2018-01-23,0
ES,2018-01-24,0
ES,2018-01-25,0
ES,2018-01-26,0
ES,2018-01-29,0
ES,2018-01-30,0
ES,2018-01-31,0
ES,2018-02-01,0
ES,2018-02-02,0
ES,2018-02-05,0
ES,2018-02-06,0
ES,2018-02-07,0
ES,2018-02-08,0
ES,2018-02-09,0
ES,2018-02-12,0
ES,2018-02-13,0
ES,2018-02-14,0
ES,2018-02-15,0
ES,2018-02-16,0
ES,2018-02-19,0
ES,2018-02-20,0
ES,2018-02-21,0
ES,2018-02-22,0
ES,2018-02-23,0
ES,2018-02-26,0
ES,2018-02-27,0
ES,2018-02-28,0
ES,2018-03-01,0
ES,2018-03-02,0
ES,2018-03-05,0
ES,2018-03-06,0
ES,2018-03-07,0
ES,2018-03-08,0
ES,2018-03-09,0
ES,2018-03-12,0
ES,2018-03-13,0
ES,2018-03-14,0
ES,2018-03-15,0
ES,2018-03-16,0
ES,2018-03-19,0
ES,2018-03-20,0
ES,2018-03-21,0
ES,2018-03-22,0
ES,2018-03-23,0
ES,2018-03-26,0
ES,2018-03-27,0
ES,2018-03-28,4
ES,2018-03-29,3
ES,2018-04-02,1
ES,2018-04-03,2
ES,2018-04-04,1
ES,2018-04-05,4
ES,2018-04-06,1
ES,2018-04-09,2
ES,2018-04-10,2
ES,2018-04-11,4
ES,2018-04-12,1
ES,2018-04-13,1
ES,2018-04-16,0
ES,2018-04-17,3
ES,2018-04-18,2
ES,2018-04-19,2
ES,2018-04-20,1
ES,2018-04-23,0
ES,2018-04-24,2
ES,2018-04-25,0
ES,2018-04-26,2
ES,2018-04-27,5
ES,2018-04-30,5
ES,2018-05-01,1
ES,2018-05-02,4
ES,2018-05-03,2
ES,2018-05-04,3
ES,2018-05-07,8
ES,2018-05-08,3
ES,2018-05-09,2
ES,2018-05-10,3
ES,2018-05-11,1
ES,2018-05-14,3
ES,2018-05-15,3
ES,2018-05-16,5
ES,2018-05-17,6
